Name,Price,Description,Category,Image Path
Штроборіз 1700 Вт 125 мм YATO YT-82015,4 750 ₴,"",24ka,media/24ka/103f838e-74b3-43c3-989c-d943a1d72f91.jpg
Акумуляторна болгарка YATO YT-82826,3 250 ₴,"",24ka,media/24ka/edfdda9f-7274-45ec-8044-dad56e199bfd.jpg
Кутова шліфувальна машина 230 мм YATO YT-82105,3 600 ₴,"",24ka,media/24ka/00ed21d2-4287-4c02-a7ef-b2a15bf390d5.jpg
Кутова шліфувальна машина 125 мм з контролем швидкості YATO YT-82098,2 000 ₴,"",24ka,media/24ka/1cf492ca-213a-4204-87c6-26eabe4e4dd8.jpg
Кругла шліфувальна головка 225мм для YATO YT-82353,300 ₴,"",24ka,media/24ka/8069e6f3-43f7-4119-a68f-61ec031fb22c.jpg
Кутова шліфувальна машина 125 мм YATO YT-82099,2 250 ₴,"",24ka,media/24ka/383ccb02-aaa3-4ba5-a398-ce5e2d0eb630.jpg
Штатив для болгарки 230мм з чавунною основою Yato YT-82976,1 900 ₴,"",24ka,media/24ka/63c505c9-7243-4844-b56e-bca645fbcad9.jpg
Шліфмашина кутова акумуляторна 125 мм YATO YT-82828,5 300 ₴,"",24ka,media/24ka/1708bd73-0c08-4017-af27-6362c9f7e92a.jpg
Диск-фреза шліфувальний по дереву та алюмінію 125 мм YATO YT-59165,900 ₴,"",24ka,media/24ka/963416bb-68d2-448d-b2e6-57ab4816c515.jpg
Диск-фреза універсальний по дереву 125 мм YATO YT-59167,800 ₴,"",24ka,media/24ka/7c959081-c5ad-4989-93e0-20247cc5f963.jpg
Пневматична болгарка YATO YT-09715,850 ₴,"",24ka,media/24ka/f3b7dde2-4cde-41c9-aca9-6f586240d9e9.jpg
Шліфмашина кутова 125мм YATO YT-82101,1 900 ₴,"",24ka,media/24ka/bb64a03f-de28-4c97-a924-36d0b7c9af61.jpg
Кутова шліфувальна машина 125мм 1700Вт (10500 хв⁻¹) YATO YT-821023,2 700 ₴,"",24ka,media/24ka/e9cef1d1-c130-4438-9922-6a2a1dce80b3.jpg
Різак для металу 2450 Вт 355 мм з функцією м'якого запуску YATO YT-82181,6 200 ₴,"",24ka,media/24ka/bb2bb7aa-a9cc-495f-8fbb-985218132d3d.jpg
Пневматична болгарка YATO YT-09675,2 400 ₴,"",24ka,media/24ka/cef4a5df-a883-459e-adf4-34aa0526565d.jpg
Кутова шліфувальна машина 850 Вт 125 мм YATO YT-82097,1 500 ₴,"",24ka,media/24ka/85d7b830-6993-4fbf-a4e1-9ab61fca4a5b.jpg
Шліфмашина кутова 125мм 1100Вт YATO YT-82100,1 650 ₴,"",24ka,media/24ka/b44e9899-daad-452d-8dfc-319075ff0deb.jpg
Кутова шліфувальна машина 100мм 1300Вт (1300-2100 хв⁻¹) YATO YT-82161,4 800 ₴,"",24ka,media/24ka/4a7e5930-03f8-4860-9f91-f687532b70d2.jpg
Насадка для шліфування плитки під кутом YATO YT-82985,1 050 ₴,"",24ka,media/24ka/f9e0d583-24d6-46b6-a0a2-df8656b18220.jpg
Шліфмашина кутова акумуляторна 125мм YATO YT-82827,1 950 ₴,"",24ka,media/24ka/44e8a2ca-6869-4da4-ab72-16dcfbbbfda2.jpg
Кутова шліфувальна машина 125мм 1700Вт (2850-10500 хв⁻¹) YATO YT-821024,3 000 ₴,"",24ka,media/24ka/2d704a63-0fae-4a37-8e02-ef1d55b4ed55.jpg
Шліфмашина кутова 230мм YATO YT-82110,3 900 ₴,"",24ka,media/24ka/21718355-4638-4612-ac52-48ebf2981348.jpg
Низькооборотна болгарка 125мм 900 Вт (1300-4000 об/хв) YATO YT-82096,3 250 ₴,"",24ka,media/24ka/ea95895b-f63f-4c6c-b337-286a5ea93c58.jpg
Різак пневматичний YATO YT-09717,900 ₴,"",24ka,media/24ka/b690113d-c70e-43f7-afe5-8659c7e0837f.jpg
